r1061,[ 1.],,,
npopigai1,[  1.00119083e-15],negatif,accuracy,"0,09625"
fl1nsam30546,[  1.00876952e-16],negatif,false positive,"0,05"
fl2fl1nlero3,[  1.02310503e-23],negatif,false negative,"0,04625"
fl2fl1nr1075,[  1.02387392e-31],negatif,,
fl2n87,[  1.03362012e-27],negatif,,
n63,[  1.03461055e-34],negatif,,
fl2fl1nr603,[  1.04069982e-24],negatif,,
ntongon2,[  1.04130203e-34],negatif,,
fl2fl1ntasmania4,[  1.04920144e-33],negatif,,
nsam18662,[  1.05034781e-31],negatif,,
ntahoua1,[  1.05824948e-18],negatif,,
fl2fl1nr1073,[  1.06186064e-18],negatif,,
nr671,[  1.07399812e-30],negatif,,
n64,[  1.07688162e-16],negatif,,
fl2fl1nagbaou1,[  1.07725669e-10],negatif,,
fl2fl1nr1141,[  1.07774109e-30],negatif,,
fl2ntelfer2,[  1.07947700e-12],negatif,,
fl1n77,[  1.08301601e-23],negatif,,
nr1121,[  1.10303944e-35],negatif,,
fl2fl1nair5,[  1.11815366e-08],negatif,,
fl2nkangankunde2,[  1.12091477e-19],negatif,,
fl2fl1nr901,[  1.12152789e-24],negatif,,
fl1nagbaou4,[  1.12493720e-19],negatif,,
nbanankoro2,[  1.12546445e-35],negatif,,
fl1n92,[  1.12723856e-21],negatif,,
fl1nfreda3,[  1.16665541e-14],negatif,,
nmogollon3,[  1.16848795e-33],negatif,,
fl2fl1nnatougou2,[  1.18458701e-10],negatif,,
fl2nsamira1,[  1.18619311e-31],negatif,,
fl1n61,[  1.18845720e-17],negatif,,
fl1ntasmania6,[  1.19291232e-18],negatif,,
fl1nr14,[  1.19686831e-19],negatif,,
nr732,[  1.23468606e-35],negatif,,
fl2nbisha2,[  1.24113790e-33],negatif,,
fl2nnampala4,[  1.24263776e-36],negatif,,
fl2nyaramoko1,[  1.25337408e-06],negatif,,
fl2nr625,[  1.26196825e-17],negatif,,
fl1nr1081,[  1.26852141e-19],negatif,,
fl2nagbaou4,[  1.29956532e-11],negatif,,
nr911,[  1.30850064e-24],negatif,,
fl2fl1nlero1,[  1.31631104e-16],negatif,,
nr676,[  1.32380471e-15],negatif,,
nr1127,[  1.32422660e-26],negatif,,
fl2fl1nandywell2,[  1.33246018e-12],negatif,,
fl2fl1nr614,[  1.33447113e-17],negatif,,
fl2fl1nr601,[  1.34622212e-30],negatif,,
fl2fl1nfreda4,[  1.35399728e-25],negatif,,
fl2nsam30543,[  1.36739493e-24],negatif,,
fl1nsam21472,[  1.37171796e-28],negatif,,
fl1ncarswell2,[  1.37778729e-18],negatif,,
fl2nr676,[  1.37873439e-32],negatif,,
